Sr. No.,Company Name,Job Title,Salaries Reported,Location,Salary,Average Salary,Weighted Average Salary,Median Salary,Level,Years of Exp
703,CoRover,Data Scientist,1,Bangalore,43370,92106,88588,68190,Junior,1-6
704,HP Inc.,Data Scientist,1,Bangalore,73080,92120,88592,68208,Junior,1-6
705,Accenture,Data Scientist,1,Bangalore,132453,92125,88593,68190,Mid,7-14
706,Tekion,Data Scientist,1,Bangalore,198360,92114,88589,68190,Mid,7-14
707,Dollar Loan Center,Data Scientist,1,Bangalore,103178,92085,88581,68190,Mid,7-14
708,Lincode,Data Scientist,1,Bangalore,60838,92082,88580,68176,Junior,1-6
709,Sigmoid Analytics,Data Scientist,1,Bangalore,120391,92090,88582,68190,Mid,7-14
710,Blah,Data Scientist,1,Bangalore,104400,92082,88580,68176,Mid,7-14
711,Genpact,Data Scientist,1,Bangalore,54857,92079,88578,68162,Junior,1-6
712,Musubi Management,Data Scientist,1,Bangalore,84786,92089,88581,68176,Junior,1-6
713,Searce,Data Scientist,1,Bangalore,60195,92091,88581,68162,Junior,1-6
714,First Student,Data Scientist,1,Bangalore,36660,92100,88583,68176,Junior,1-6
715,CSIR-NGRI,Data Scientist,1,Bangalore,33742,92115,88588,68190,Junior,1-6
716,Schneider Electric,Data Scientist,1,Bangalore,43371,92131,88592,68190,Junior,1-6
717,Smarter BIZ Technologies,Data Scientist,1,Bangalore,51849,92145,88595,68190,Junior,1-6
718,INSUD PHARMA,Data Scientist,1,Bangalore,60000,92156,88598,68208,Junior,1-6
719,Routematic,Data Scientist,1,Bangalore,121677,92165,88600,68226,Mid,7-14
720,Multi Recruit,Data Scientist,1,Bangalore,193767,92157,88598,68208,Mid,7-14
721,kanth,Data Scientist,1,Bangalore,38000,92129,88590,68190,Junior,1-6
722,Simplify360,Data Scientist,1,Bangalore,58961,92144,88594,68208,Junior,1-6
723,ZestMoney,Data Scientist,1,Bangalore,154122,92153,88596,68226,Mid,7-14
724,Cisco Systems,Data Scientist,1,Bangalore,80776,92136,88591,68208,Junior,1-6
725,Himani,Data Scientist,1,Bangalore,50000,92139,88591,68190,Junior,1-6
726,redBus India,Data Scientist,1,Bangalore,219486,92150,88594,68208,Mid,7-14
727,qplum,Data Scientist,1,Bangalore,488547,92115,88584,68190,Senior,15-25
728,Rajat Basak,Data Scientist,1,Bangalore,50163,92005,88552,68190,Junior,1-6
729,Kyndryl,Data Scientist,1,Bangalore,90000,92017,88555,68190,Junior,1-6
730,Analytical Wizards,Data Scientist,1,Bangalore,37174,92018,88555,68190,Junior,1-6
731,YGroup Companies,Data Scientist,1,Bangalore,160060,92033,88559,68190,Mid,7-14
732,Virtual Employee,Data Scientist,1,Bangalore,46400,92014,88554,68190,Junior,1-6
733,Suhana Shabnam,Data Scientist,1,Bangalore,207396,92027,88557,68190,Mid,7-14
734,Elasto Tech Industries,Data Scientist,1,Bangalore,88315,91995,88547,68190,Junior,1-6
735,Anonymous,Data Scientist,1,Bangalore,60195,91996,88547,68190,Junior,1-6
736,Saksoft,Data Scientist,1,Bangalore,188079,92004,88550,68190,Mid,7-14
737,Neviton,Data Scientist,1,Bangalore,112365,91978,88542,68190,Mid,7-14
738,High Peak Software,Data Scientist,1,Bangalore,90000,91972,88540,68176,Junior,1-6
739,Fiscalia General de Justicia del Estado de Mexico,Data Scientist,1,Bangalore,45410,91973,88540,68162,Junior,1-6
740,Megha Engineering and Infrastructure,Data Scientist,1,Bangalore,58595,91986,88543,68176,Junior,1-6
741,Zebra Technologies,Data Scientist,1,Bangalore,123917,91995,88546,68190,Mid,7-14
742,na,Data Scientist,1,Bangalore,50000,91986,88543,68176,Junior,1-6
743,JoulestoWatts Business Solutions,Data Scientist,1,Bangalore,80776,91998,88546,68190,Junior,1-6
744,NoBroker,Data Scientist,1,Bangalore,124437,92001,88546,68176,Mid,7-14
745,Airbus,Data Scientist,1,Bangalore,102771,91992,88544,68162,Mid,7-14
746,Jupiter Money,Data Scientist,1,Bangalore,192696,91989,88542,68158,Mid,7-14
747,Unified Healthcare Group,Data Scientist,1,Bangalore,61648,91961,88534,68154,Junior,1-6
748,DataScientest,Data Scientist,1,Bangalore,491148,91969,88536,68158,Senior,15-25
749,upGrad,Data Scientist,1,Bangalore,30049,91858,88503,68154,Junior,1-6
750,Inceptua,Data Scientist,1,Bangalore,30953,91875,88508,68158,Junior,1-6
751,Kinara Capital,Data Scientist,1,Bangalore,100326,91892,88513,68162,Mid,7-14
752,Hudl,Data Scientist,1,Bangalore,30097,91890,88512,68158,Junior,1-6
753,Chemdiqas R & D,Data Scientist,1,Bangalore,66605,91907,88517,68162,Junior,1-6
754,Freelance,Data Scientist,1,Bangalore,325077,91914,88518,68176,Mid,15-25
755,Tricog Health Services,Data Scientist,1,Bangalore,73607,91849,88499,68162,Junior,1-6
756,Everyday Health Group,Data Scientist,1,Bangalore,184975,91854,88500,68158,Mid,7-14
757,Other,Data Scientist,1,Bangalore,102920,91828,88492,68154,Mid,7-14
758,Defence Research & Development Organisation,Data Scientist,1,Bangalore,45930,91825,88491,68145,Junior,1-6
759,Raja Software Labs,Data Scientist,1,Bangalore,53838,91838,88494,68154,Junior,1-6
760,Precifab Technologies,Data Scientist,1,Bangalore,43969,91849,88497,68158,Junior,1-6
761,RockYou,Data Scientist,1,Bangalore,50163,91862,88501,68162,Junior,1-6
762,JBT Corporation,Data Scientist,1,Bangalore,125280,91874,88504,68176,Mid,7-14
763,Nucsoft,Data Scientist,1,Bangalore,33742,91864,88501,68162,Junior,1-6
764,Flip Robo,Data Scientist,1,Bangalore,42205,91880,88506,68176,Junior,1-6
765,Dacasa Financeira,Data Scientist,1,Bangalore,313200,91894,88510,68190,Mid,15-25
766,Kaplan,Data Scientist,1,Bangalore,196038,91832,88491,68176,Mid,7-14
767,Speridian Technologies,Data Scientist,1,Bangalore,106624,91803,88482,68162,Mid,7-14
768,Evarcity,Data Scientist,1,Bangalore,36142,91799,88480,68158,Junior,1-6
769,Danske IT and Support Services,Data Scientist,1,Bangalore,163535,91815,88485,68162,Mid,7-14
770,Unemployed Professors,Data Scientist,1,Bangalore,123813,91795,88478,68158,Mid,7-14
771,DataScientest,Data Scientist,1,Bangalore,50223,91786,88475,68154,Junior,1-6
772,Target,Data Scientist,1,Bangalore,62692,91797,88478,68158,Junior,1-6
773,down to up,Data Scientist,1,Bangalore,60000,91805,88481,68162,Junior,1-6
774,lnterplast,Data Scientist,1,Bangalore,38539,91814,88483,68176,Junior,1-6
775,Lucidity Consulting Group,Data Scientist,1,Bangalore,73006,91829,88487,68190,Junior,1-6
776,Furlenco,Data Scientist,1,Bangalore,56006,91835,88489,68176,Junior,1-6
777,MagicBricks,Data Scientist,1,Bangalore,170694,91845,88491,68190,Mid,7-14
778,Exdion,Data Scientist,1,Bangalore,60195,91823,88484,68176,Junior,1-6
779,Happay,Data Scientist,1,Bangalore,96932,91831,88487,68190,Junior,1-6
780,Automation Engineering,Data Scientist,1,Bangalore,36000,91830,88486,68176,Junior,1-6
781,Government Engineering College,Data Scientist,1,Bangalore,40559,91846,88491,68190,Junior,1-6
782,Eigenlytics,Data Scientist,1,Bangalore,45693,91860,88495,68190,Junior,1-6
783,Sears,Data Scientist,1,Bangalore,85277,91873,88498,68190,Junior,1-6
784,AdWyze,Data Scientist,1,Bangalore,38080,91875,88499,68190,Junior,1-6
785,Apptio,Data Scientist,1,Bangalore,150000,91890,88503,68190,Mid,7-14
786,Accurence,Data Scientist,1,Bangalore,122787,91874,88498,68190,Mid,7-14
787,EXL Service,Data Scientist,1,Bangalore,88815,91865,88495,68190,Junior,1-6
788,i4u Labs,Data Scientist,1,Bangalore,299299,91866,88495,68176,Mid,7-14
789,Amara Raja,Data Scientist,1,Bangalore,44203,91807,88476,68162,Junior,1-6
790,IntelliPredikt Technologies,Data Scientist,1,Bangalore,60293,91821,88480,68176,Junior,1-6
791,iFuture Robotics,Data Scientist,1,Bangalore,70228,91830,88483,68190,Junior,1-6
792,pion.ai,Data Scientist,1,Bangalore,50610,91836,88484,68176,Junior,1-6
793,tabdbjsdo,Data Scientist,1,Bangalore,120000,91847,88488,68190,Mid,7-14
794,Blackhawk Network,Data Scientist,1,Bangalore,160000,91839,88485,68176,Mid,7-14
795,Allianz,Data Scientist,1,Bangalore,49592,91820,88479,68162,Junior,1-6
796,BT,Data Scientist,1,Bangalore,135034,91832,88482,68176,Mid,7-14
797,Infosys BPM,Data Scientist,1,Bangalore,73108,91820,88478,68162,Junior,1-6
798,Dun & Bradstreet,Data Scientist,1,Bangalore,190402,91825,88479,68158,Mid,7-14
799,Zolo,Data Scientist,1,Bangalore,122175,91797,88470,68154,Mid,7-14
800,HSBC Electronic Data Processing India,Data Scientist,1,Bangalore,162236,91789,88467,68145,Mid,7-14
801,First Student,Data Scientist,1,Bangalore,67528,91769,88461,68135,Junior,1-6
802,Inventeron Technologies And Business Solutions,Data Scientist,1,Bangalore,43743,91776,88463,68145,Junior,1-6
803,qbeats,Data Scientist,1,Bangalore,48000,91789,88467,68154,Junior,1-6
804,Symphony RetailAI,Data Scientist,1,Bangalore,196243,91802,88470,68158,Mid,7-14
805,College Internship Program,Data Scientist,1,Bangalore,38252,91772,88461,68154,Junior,1-6
806,Goo-Goo Express Wash,Data Scientist,1,Bangalore,33742,91787,88465,68158,Junior,1-6
807,Careerera,Data Scientist,1,Bangalore,128464,91804,88470,68162,Mid,7-14
808,Novozymes,Data Scientist,1,Bangalore,184198,91793,88466,68158,Mid,7-14
809,NeenOpal,Data Scientist,1,Bangalore,38792,91767,88458,68154,Junior,1-6
810,neha gupta,Data Scientist,1,Bangalore,50000,91782,88462,68158,Junior,1-6
811,Sling Media,Data Scientist,1,Bangalore,120626,91794,88466,68162,Mid,7-14
812,Futureware Technologies,Data Scientist,1,Bangalore,41549,91786,88463,68158,Junior,1-6
813,Fortraiz Infosec,Data Scientist,1,Bangalore,82336,91800,88467,68162,Junior,1-6
814,Confidential,Data Scientist,1,Bangalore,143251,91803,88468,68158,Mid,7-14
815,Freelancer,Data Scientist,1,Bangalore,72336,91788,88463,68154,Junior,1-6
816,Maruti Suzuki,Data Scientist,1,Bangalore,36000,91794,88464,68145,Junior,1-6
817,Maharshi,Data Scientist,1,Bangalore,78300,91810,88469,68154,Junior,1-6
818,HSBC,Data Scientist,1,Bangalore,120000,91813,88470,68145,Mid,7-14
819,CommerceIQ,Data Scientist,1,Bangalore,220717,91805,88467,68135,Mid,7-14
820,Wipro,Data Scientist,1,Bangalore,160580,91769,88455,68135,Mid,7-14
821,Soroco,Data Scientist,1,Bangalore,173948,91749,88449,68135,Mid,7-14
822,StoneX,Data Scientist,1,Bangalore,163431,91726,88441,68135,Mid,7-14
823,Pluralsight,Data Scientist,1,Bangalore,185000,91706,88434,68135,Mid,7-14
824,Indian Statistical Institute,Data Scientist,1,Bangalore,32558,91679,88425,68120,Junior,1-6
825,Samsung Research America,Data Scientist,1,Bangalore,123504,91696,88430,68135,Mid,7-14
826,Sabre,Data Scientist,1,Bangalore,258161,91687,88427,68120,Mid,7-14
827,HP Inc.,Data Scientist,1,Bangalore,140000,91639,88412,68104,Mid,7-14
828,Tesco Bengaluru,Data Scientist,1,Bangalore,251223,91626,88407,68102,Mid,7-14
829,Big Data Science Research,Data Scientist,1,Bangalore,74288,91580,88392,68099,Junior,1-6
830,Collabera,Data Scientist,1,Bangalore,51161,91585,88393,68094,Junior,1-6
831,Gear up,Data Scientist,1,Bangalore,112554,91597,88397,68099,Mid,7-14
832,Allegion,Data Scientist,1,Bangalore,128802,91591,88395,68094,Mid,7-14
833,M-SIX Technology,Data Scientist,1,Bangalore,101226,91580,88391,68089,Mid,7-14
834,Evalueserve,Data Scientist,1,Bangalore,200000,91577,88390,68050,Mid,7-14
835,Orbinet Technologies,Data Scientist,1,Bangalore,867134,91546,88379,68011,Management,25-30
836,InnovatorsBay,Data Scientist,1,Bangalore,69237,91325,88308,68006,Junior,1-6
837,Epsilon,Data Scientist,1,Bangalore,169337,91331,88310,68000,Mid,7-14
838,Sravathi AI Technology,Data Scientist,1,Bangalore,70000,91309,88302,67965,Junior,1-6
839,Reliance Industries,Data Scientist,1,Bangalore,56237,91315,88304,67929,Junior,1-6
840,GrayMatter Software Services,Data Scientist,1,Bangalore,62219,91325,88307,67965,Junior,1-6
841,Elpis IT Solutions,Data Scientist,1,Bangalore,171285,91333,88309,68000,Mid,7-14
842,Prodotti Poliplastici,Data Scientist,1,Bangalore,50698,91311,88301,67965,Junior,1-6
843,Sigmoid Analytics,Data Scientist,1,Bangalore,97523,91322,88305,68000,Junior,1-6
844,Acies,Data Scientist,1,Bangalore,41549,91320,88304,67965,Junior,1-6
845,Silfra Technologies,Data Scientist,1,Bangalore,74000,91335,88308,68000,Junior,1-6
846,MiQ,Data Scientist,1,Bangalore,150000,91340,88310,67965,Mid,7-14
847,Enquero,Data Scientist,1,Bangalore,148090,91323,88304,67929,Mid,7-14
848,CommerceIQ,Data Scientist,1,Bangalore,120391,91307,88298,67890,Mid,7-14
849,Safeducate Institute of Learning,Data Scientist,1,Bangalore,82655,91298,88295,67851,Junior,1-6
850,Unbxd,Data Scientist,1,Bangalore,283840,91301,88296,67821,Mid,7-14
851,Hotify,Data Scientist,1,Bangalore,133699,91246,88278,67791,Mid,7-14
852,HT Media,Data Scientist,1,Bangalore,48252,91233,88273,67775,Junior,1-6
853,Optimum Info Systems,Data Scientist,1,Bangalore,50244,91246,88277,67791,Junior,1-6
854,Shiv Nadar University,Data Scientist,1,Bangalore,61393,91257,88281,67821,Junior,1-6
855,Tata Health,Data Scientist,1,Bangalore,112474,91266,88283,67851,Mid,7-14
856,Okay.com,Data Scientist,1,Bangalore,55410,91260,88281,67821,Junior,1-6
857,Deccan Infosystems,Data Scientist,1,Bangalore,51589,91270,88284,67851,Junior,1-6
858,AXA,Data Scientist,1,Bangalore,121857,91282,88287,67890,Mid,7-14
859,HyperWorks Imaging,Data Scientist,1,Bangalore,155547,91273,88284,67851,Mid,7-14
860,DataWeave,Data Scientist,1,Bangalore,180586,91254,88278,67821,Mid,7-14
861,Patrick,Data Scientist,1,Bangalore,42144,91229,88269,67791,Junior,1-6
862,PlayShifu,Data Scientist,1,Bangalore,83520,91243,88274,67821,Junior,1-6
863,Other,Data Scientist,1,Bangalore,50705,91245,88274,67791,Junior,1-6
864,Exponentia DataLabs,Data Scientist,1,Bangalore,120000,91257,88278,67821,Mid,7-14
865,Mindtree,Data Scientist,1,Bangalore,107388,91248,88275,67791,Mid,7-14
866,Artigiani Technologies,Data Scientist,1,Bangalore,71625,91244,88273,67775,Junior,1-6
867,Jindal Aluminium,Data Scientist,1,Bangalore,48000,91249,88274,67758,Junior,1-6
868,GE,Data Scientist,1,Bangalore,123839,91262,88278,67775,Mid,7-14
869,Netradyne,Data Scientist,1,Bangalore,180881,91252,88275,67758,Mid,7-14
870,Credit Suisse,Data Scientist,1,Bangalore,150000,91227,88266,67758,Mid,7-14
871,Freelancer,Data Scientist,1,Bangalore,124438,91210,88260,67758,Mid,7-14
872,Commonwealth Bank of Australia,Data Scientist,1,Bangalore,155505,91200,88256,67758,Mid,7-14
873,Cepheid,Data Scientist,1,Bangalore,96348,91182,88250,67758,Junior,1-6
874,Talent Zone Consultants,Data Scientist,1,Bangalore,47087,91180,88249,67758,Junior,1-6
875,Starcom Information Technology,Data Scientist,1,Bangalore,77383,91193,88253,67758,Junior,1-6
876,Pexitics,Data Scientist,1,Bangalore,120000,91197,88254,67758,Mid,7-14
877,Not Applicable,Data Scientist,1,Bangalore,80260,91188,88251,67758,Junior,1-6
878,Equinor,Data Scientist,1,Bangalore,267634,91192,88252,67758,Mid,7-14
879,Datascribe Technologies,Data Scientist,1,Bangalore,134968,91141,88234,67758,Mid,7-14
880,Evive,Data Scientist,1,Bangalore,123839,91128,88230,67758,Mid,7-14
881,IBM,Data Scientist,1,Bangalore,50244,91119,88226,67758,Junior,1-6
882,Akaike Technologies,Data Scientist,1,Bangalore,74662,91130,88230,67758,Junior,1-6
883,Jupiter Money,Data Scientist,1,Bangalore,60838,91135,88231,67758,Junior,1-6
884,Tenzai,Data Scientist,1,Bangalore,62640,91144,88234,67758,Junior,1-6
885,Grab,Data Scientist,1,Bangalore,49060,91152,88237,67758,Junior,1-6
886,Pratilipi,Data Scientist,1,Bangalore,344752,91164,88240,67758,Mid,15-25
887,PK,Data Scientist,1,Bangalore,133019,91091,88215,67758,Mid,7-14
888,Shashank Medi Pharma,Data Scientist,1,Bangalore,45537,91079,88211,67758,Junior,1-6
889,Skandiabanken,Data Scientist,1,Bangalore,204645,91092,88215,67758,Mid,7-14
890,Rashi Information Services,Data Scientist,1,Bangalore,41795,91059,88204,67758,Junior,1-6
891,NielsenIQ,Data Scientist,1,Bangalore,110538,91073,88208,67758,Mid,7-14
892,Practo Technologies,Data Scientist,1,Bangalore,172772,91068,88206,67758,Mid,7-14
893,Analytics India Magazine,Data Scientist,1,Bangalore,160580,91044,88198,67758,Mid,7-14
894,Couture AI,Data Scientist,1,Bangalore,210000,91024,88190,67758,Mid,7-14
895,Capital One,Data Scientist,1,Bangalore,32115,90989,88178,67758,Junior,1-6
896,Mate Labs,Data Scientist,1,Bangalore,83520,91006,88184,67758,Junior,1-6
897,Cognizant Technology Solutions,Data Scientist,1,Bangalore,43343,91008,88184,67758,Junior,1-6
898,Litifer,Data Scientist,1,Bangalore,42538,91022,88189,67758,Junior,1-6
899,vitrana,Data Scientist,1,Bangalore,100000,91036,88193,67758,Mid,7-14
900,o9 Solutions,Data Scientist,1,Bangalore,107053,91034,88192,67758,Mid,7-14
901,L Brands,Data Scientist,1,Bangalore,188079,91029,88190,67758,Mid,7-14
902,Nuartin Labs,Data Scientist,1,Bangalore,250815,91001,88180,67758,Mid,7-14
903,Freshworks,Data Scientist,1,Bangalore,538511,90954,88164,67758,Senior,15-25
904,Gradatim,Data Scientist,1,Bangalore,72224,90824,88119,67758,Junior,1-6
905,Latitude Fintech,Data Scientist,1,Bangalore,101226,90830,88121,67758,Mid,7-14
906,D&B Technologies,Data Scientist,1,Bangalore,48000,90827,88119,67758,Junior,1-6
907,LTI,Data Scientist,1,Bangalore,56603,90839,88123,67758,Junior,1-6
908,BankBazaar,Data Scientist,1,Bangalore,102278,90849,88126,67758,Mid,7-14
909,Rapido,Data Scientist,1,Bangalore,38080,90846,88125,67758,Junior,1-6
910,GCC services,Data Scientist,1,Bangalore,123721,90861,88130,67758,Mid,7-14
911,Dayananda Sagar College of Engineering,Data Scientist,1,Bangalore,61860,90851,88126,67758,Junior,1-6
912,IceCream Labs,Data Scientist,1,Bangalore,30146,90860,88129,67758,Junior,1-6
913,Google,Data Scientist,1,Bangalore,48000,90878,88135,67758,Junior,1-6
914,First American Financial Corporation,Data Scientist,1,Bangalore,83520,90890,88139,67758,Junior,1-6
915,Pivosys Technologies,Data Scientist,1,Bangalore,90000,90892,88140,67758,Junior,1-6
916,Vmoksha Technologies,Data Scientist,1,Bangalore,49980,90893,88139,67758,Junior,1-6
917,AMCORE Financial,Data Scientist,1,Bangalore,180000,90905,88143,67758,Mid,7-14
918,HiLabs,Data Scientist,1,Bangalore,196202,90879,88134,67758,Mid,7-14
919,Fiserv,Data Scientist,1,Bangalore,123721,90848,88123,67758,Mid,7-14
920,Swetapadma Das,Data Scientist,1,Bangalore,30000,90838,88119,67758,Junior,1-6
921,Cognizant,Data Scientist,1,Bangalore,32558,90856,88125,67758,Junior,1-6
922,Darshan Soft-Tech,Data Scientist,1,Bangalore,30696,90873,88131,67758,Junior,1-6
923,Ziafa Technologies,Data Scientist,1,Bangalore,57185,90891,88137,67758,Junior,1-6
924,Webi7,Data Scientist,1,Bangalore,93486,90900,88140,67758,Junior,1-6
925,Prakshep,Data Scientist,1,Bangalore,90301,90900,88139,67758,Junior,1-6
926,IIT Madras,Data Scientist,1,Bangalore,200000,90900,88139,67758,Mid,7-14
927,Deutsche Bank,Data Scientist,1,Bangalore,153971,90868,88128,67758,Mid,7-14
928,Giftiicon,Data Scientist,1,Bangalore,79219,90849,88121,67758,Junior,1-6
929,Synechron,Data Scientist,1,Bangalore,109923,90853,88122,67758,Mid,7-14
930,Postman,Data Scientist,1,Bangalore,145422,90847,88119,67747,Mid,7-14
931,American Express,Data Scientist,1,Bangalore,47214,90831,88114,67736,Junior,1-6
932,Zoomcar,Data Scientist,1,Bangalore,125280,90844,88118,67747,Mid,7-14
933,AmberTAG Analytics,Data Scientist,1,Bangalore,34731,90834,88114,67736,Junior,1-6
934,Cisco Systems,Data Scientist,1,Bangalore,114386,90850,88119,67747,Mid,7-14
935,Tempworks Services,Data Scientist,1,Bangalore,170000,90843,88117,67736,Mid,7-14
936,Accenture,Data Scientist,1,Bangalore,73281,90820,88108,67704,Junior,1-6
937,VIT Infotech,Data Scientist,1,Bangalore,90000,90825,88110,67672,Junior,1-6
938,Allstate India,Data Scientist,1,Bangalore,120390,90826,88110,67660,Mid,7-14
939,Integra Micro Software Services (P),Data Scientist,1,Bangalore,101397,90817,88106,67647,Mid,7-14
940,MoneyTap,Data Scientist,1,Bangalore,309793,90814,88105,67635,Mid,15-25
941,Siemens Healthineers,Data Scientist,1,Bangalore,30418,90749,88082,67622,Junior,1-6
942,Almug,Data Scientist,1,Bangalore,91393,90767,88088,67635,Junior,1-6
943,Refinitiv,Data Scientist,1,Bangalore,51385,90767,88087,67622,Junior,1-6
944,Ragle,Data Scientist,1,Bangalore,80000,90779,88091,67635,Junior,1-6
945,Tata Consultancy Services,Data Scientist,1,Bangalore,37468,90782,88092,67622,Junior,1-6
946,eTeam,Data Scientist,1,Bangalore,70000,90797,88097,67635,Junior,1-6
947,Skit,Data Scientist,1,Bangalore,150000,90804,88099,67622,Mid,7-14
948,Vois (India),Data Scientist,1,Bangalore,173948,90786,88093,67580,Mid,7-14
949,Cyient,Data Scientist,1,Bangalore,100861,90762,88084,67538,Mid,7-14
950,Saankhya Labs,Data Scientist,1,Bangalore,160000,90759,88082,67519,Mid,7-14
951,Losch Engineering,Data Scientist,1,Bangalore,121472,90738,88075,67500,Mid,7-14
952,CAET Project Management Consultants,Data Scientist,1,Bangalore,100000,90729,88071,67500,Mid,7-14
953,AMPROVIT TECHNOLOGIES,Data Scientist,1,Bangalore,81020,90726,88070,67500,Junior,1-6
954,Centelon,Data Scientist,1,Bangalore,50000,90729,88071,67492,Junior,1-6
955,BCA,Data Scientist,1,Bangalore,60838,90741,88075,67500,Junior,1-6
956,Danske Bank,Data Scientist,1,Bangalore,145177,90750,88078,67500,Mid,7-14
957,Lam Research,Data Scientist,1,Bangalore,120391,90734,88071,67500,Mid,7-14
958,Kiwi labs,Data Scientist,1,Bangalore,341108,90725,88068,67492,Mid,15-25
959,BidMath,Data Scientist,1,Bangalore,103264,90651,88041,67484,Mid,7-14
960,Siemens Healthineers,Data Scientist,1,Bangalore,200549,90647,88039,67466,Mid,7-14
961,Kashish Corporation,Data Scientist,1,Bangalore,30696,90615,88027,67448,Junior,1-6
962,Mu Sigma,Data Scientist,1,Bangalore,72224,90633,88033,67466,Junior,1-6
963,IITS,Data Scientist,1,Bangalore,58879,90638,88035,67448,Junior,1-6
964,Professional Data Analysts,Data Scientist,1,Bangalore,200979,90648,88038,67466,Mid,7-14
965,CognitiveWorks,Data Scientist,1,Bangalore,53526,90615,88026,67448,Junior,1-6
966,Metteyya Analytics,Data Scientist,1,Bangalore,145177,90626,88030,67466,Mid,7-14
967,Innominds Software,Data Scientist,1,Bangalore,93960,90610,88024,67448,Junior,1-6
968,Signify,Data Scientist,1,Bangalore,101226,90609,88023,67448,Mid,7-14
969,XYZ (Turkey),Data Scientist,1,Bangalore,200979,90606,88022,67448,Mid,7-14
970,Trident Information Systems,Data Scientist,1,Bangalore,48174,90573,88009,67448,Junior,1-6
971,Arvind Internet,Data Scientist,1,Bangalore,70000,90585,88014,67448,Junior,1-6
972,Sunrise Senior Living,Data Scientist,1,Bangalore,602937,90591,88016,67448,Senior,15-25
973,VJTI,Data Scientist,1,Bangalore,43340,90439,87960,67448,Junior,1-6
974,VE Commercial Vehicles,Data Scientist,1,Bangalore,67484,90453,87964,67448,Junior,1-6
975,Dozee,Data Scientist,1,Bangalore,91258,90460,87967,67448,Junior,1-6
976,Levi Strauss,Data Scientist,1,Bangalore,47251,90460,87966,67444,Junior,1-6
977,Tech Mahindra,Data Scientist,1,Bangalore,128464,90473,87971,67448,Mid,7-14
978,AscentHR Services,Data Scientist,1,Bangalore,35423,90461,87966,67444,Junior,1-6
979,OnlyGroup Healthcare,Data Scientist,1,Bangalore,61648,90478,87972,67448,Junior,1-6
980,Snap,Data Scientist,1,Bangalore,449896,90486,87975,67448,Senior,15-25
981,DataScience.com,Data Scientist,1,Bangalore,120588,90379,87935,67448,Mid,7-14
982,WNS,Data Scientist,1,Bangalore,134000,90370,87932,67444,Mid,7-14
983,Schlumberger,Data Scientist,1,Bangalore,108883,90357,87927,67440,Mid,7-14
984,Atos-Syntel,Data Scientist,1,Bangalore,40929,90352,87924,67403,Junior,1-6
985,Forec Software Solutions,Data Scientist,1,Bangalore,61351,90367,87929,67440,Junior,1-6
986,Tata Consultancy Services,Data Scientist,30,Pune,71733,90375,87932,67444,Junior,1-6
987,Innoplexus,Data Scientist,17,Pune,116318,90381,87934,67440,Mid,7-14
988,IBM,Data Scientist,11,Pune,103653,90373,87931,67403,Mid,7-14
989,AlgoAnalytics Financial Consultancy,Data Scientist,11,Pune,74288,90369,87929,67365,Junior,1-6
990,ZS Associates,Data Scientist,10,Pune,129403,90374,87931,67352,Mid,7-14
991,Wolters Kluwer,Data Scientist,10,Pune,115457,90362,87926,67338,Mid,7-14
992,Cognizant Technology Solutions,Data Scientist,8,Pune,76563,90355,87923,67293,Junior,1-6
993,Accenture,Data Scientist,7,Pune,60293,90359,87924,67248,Junior,1-6
994,Wipro,Data Scientist,7,Pune,115000,90368,87928,67293,Mid,7-14
995,Zensar Technologies,Data Scientist,7,Pune,85495,90360,87925,67248,Junior,1-6
996,Bajaj Finance,Data Scientist,7,Pune,95630,90362,87925,67248,Junior,1-6
997,SG Analytics,Data Scientist,7,Pune,81694,90360,87924,67248,Junior,1-6
998,ThinkBumblebee Analytics,Data Scientist,7,Pune,107053,90363,87925,67248,Mid,7-14
999,Michelin,Data Scientist,6,Pune,114604,90358,87922,67248,Mid,7-14
1000,Tech Mahindra,Data Scientist,5,Pune,111416,90351,87919,67248,Mid,7-14
1001,Schlumberger,Data Scientist,5,Pune,205497,90344,87917,67248,Mid,7-14
1002,Merkle,Data Scientist,5,Pune,113476,90310,87904,67248,Mid,7-14
1003,Infosys,Data Scientist,4,Pune,87825,90303,87901,67248,Junior,1-6
1004,Capgemini,Data Scientist,4,Pune,89835,90304,87901,67247,Junior,1-6
1005,LTI,Data Scientist,4,Pune,81401,90304,87901,67246,Junior,1-6
1006,First Student,Data Scientist,4,Pune,42500,90307,87901,67246,Junior,1-6
1007,Vodafone,Data Scientist,4,Pune,94042,90321,87906,67246,Junior,1-6
1008,Eaton,Data Scientist,4,Pune,112184,90320,87906,67246,Mid,7-14
1009,T-Systems,Data Scientist,4,Pune,121590,90313,87903,67246,Mid,7-14
1010,Coupa Software Inc,Data Scientist,4,Pune,105581,90304,87899,67223,Mid,7-14
1011,Aera Technology,Data Scientist,4,Pune,162261,90299,87897,67200,Mid,7-14
1012,Accenture,Data Scientist,3,Pune,50698,90278,87889,67200,Junior,1-6
1013,Amdocs,Data Scientist,3,Pune,71853,90289,87893,67200,Junior,1-6
1014,Atos-Syntel,Data Scientist,3,Pune,42342,90295,87895,67200,Junior,1-6
1015,Barclays,Data Scientist,3,Pune,173374,90309,87900,67200,Mid,7-14
1016,KPIT Technologies,Data Scientist,3,Pune,165512,90284,87890,67200,Mid,7-14
